Rank,Name,Tag,Role,Trophies,Donated,Received,Fame,Repairs
1,b-nasty,#29VQVQJUJ,Elder,5475,422,0,5408,0
2,Gnasty,#2U9Y8RYC,Co-leader,5456,568,375,3828,0
3,CB,#2G29LL82L,Co-leader,5422,206,240,1950,0
4,Conrizzle,#2LLV0L8YY,Member,5343,561,451,3737,415
5,DirtNastyL0w,#P0JVJYQV,Leader,5336,250,280,1806,598
6,danimal9387,#29PURCVCU,Co-leader,5321,355,520,4680,0
7,Brommin,#8JJYLYGQ,Elder,5315,330,120,2362,104
8,HERETIC,#9JGL0Y2GR,Member,5215,100,120,1440,0
9,The goat,#2C088JGGQ,Elder,4991,323,430,2932,485
10,Pricein99,#9RJQJ99,Elder,4985,289,294,2692,312
11,lambflirta,#8JULVVLC,Member,4950,596,498,1380,392
12,HoeyJoey69,#8RGQRQRV,Member,4925,8,0,1532,368
13,LuXxray,#2PV2JGUGC,Member,4916,440,280,1661,349
14,b1rdman93,#99R2VQP2,Elder,4915,184,360,2408,280
15,SValdez,#2R2P8V0QJ,Elder,4906,162,200,0,0
16,[==T4yl0r==],#L98GR9V,Elder,4890,178,280,1022,0
17,SuperNaSTy,#PY2Q8UC0U,Member,4854,98,270,857,0
18,Johnny,#J0Q0UVQ0,Member,4823,185,480,1276,319
19,Anthony,#Y2YLQQ8C,Member,4697,131,241,438,0
20,Rayind08,#QV9C0R9L,Member,4681,0,0,0,0
21,Ice Cube,#L2P0PC0Y,Member,4679,26,40,1146,0
22,mojo,#2J98L0RQY,Member,4662,187,200,174,0
23,heckfu,#9CR9J0JU,Member,4652,58,10,496,0
24,astonium13,#PJUYQ0RQQ,Member,4635,0,0,0,0
25,B.K.H,#2Y2YJJ02J,Member,4614,54,240,0,0
26,Falor,#YPU2QJYR,Member,4577,0,0,0,0
27,Clash Trash,#2VC9C82U,Member,4539,0,0,796,0
28,chikaboomboom,#VC2V20V,Elder,4473,0,0,0,0
29,GREEKFREAK,#YQGPJYQC9,Member,4406,391,40,2606,0
30,savagecoolgirl,#9QYVU0P9Y,Member,4404,0,0,0,0
31,KySprtRdio,#9Q0GYPCC,Member,4383,0,0,0,0
32,Deeznuts,#8Q0Y2U88,Elder,4242,86,0,0,0
33,Flying Tortuga,#8G28VRJ9U,Elder,4232,146,160,0,0
34,Alex9,#PRC2UJ8QL,Member,4199,0,0,0,0
35,PUBG,#YU9U8Y00R,Member,4168,53,80,336,0
36,Flying Turtle,#9CRVJCJG,Elder,4145,0,0,0,0
37,big daddy,#Y2UJVCY9C,Member,4109,0,0,0,0
38,GEW14,#PVUUJU8P,Elder,4022,0,0,0,0
39,Sharma,#2L8V28CYL,Elder,4021,0,0,0,0
40,Alan,#2GYYCY2V,Member,4014,0,0,0,0
41,TheSacko,#VUPRVYLJ,Member,4008,0,0,0,0
42,RD.Rios,#P98PJR2VJ,Member,4008,0,0,0,0
43,Jan The Dragon,#2PUJ8VQRC,Elder,4006,0,0,0,0
44,Euthimis 8,#YQ8QV0YQ9,Member,4006,0,0,0,0
45,Pravis,#LL8VRPJC,Elder,4001,0,0,0,0
46,DFrank,#G0QJR0G00,Member,4000,0,0,0,0
47,little man,#UUV988L,Elder,3639,302,480,2407,369
